at,poolName,pair,endBlock,priceBaseInQuote,riskScore,riskStatus,trend,deltaScore,events,syncBlock,syncAgeBlocks,flowStatus,flowNetQuote,flowGrossQuote,flowNetPct,flowGrossPct,l1Status,l1NetLiq15Quote,l1Churn15Quote,m1Status,m1BouncePairs,m1ClassicCandidates,m1ReversalPairs,volStatus,volShort,volLong
2026-02-27 08:18:43,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547021,0.030124612795027438,23,OK,FLAT,0,,24547014,7,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,,
2026-02-27 08:18:43,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547021,2038.3227926072543,55,HIGH,FLAT,0,MEV_SWARM,24547019,2,ELEVATED,18227213492,21276595248,0.25051887876607815,0.29243026027143804,OK,0,0,HIGH,8,0,0,OK,,
2026-02-27 08:18:43,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547021,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,59,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,,
2026-02-27 08:19:14,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547024,2039.091692720309,33,ELEVATED,FLAT,0,,24547007,17,ELEVATED,24518926857,24518926857,0.2689125235129961,0.2689125235129961,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:19:14,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547024,0.030124612795027438,23,OK,FLAT,0,,24547014,10,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,2.024397231056117e-8,
2026-02-27 08:19:14,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547024,2038.3227926072543,55,HIGH,FLAT,0,MEV_SWARM,24547019,5,ELEVATED,18227213492,21276595248,0.25051887876607815,0.29243026027143804,OK,0,0,HIGH,8,0,0,OK,0.0000024702521797721584,
2026-02-27 08:19:14,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547024,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,62,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:19:46,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547026,2039.091692720309,33,ELEVATED,FLAT,0,,24547007,19,ELEVATED,24518926857,24518926857,0.2689125235129961,0.2689125235129961,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:19:46,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547026,0.030124612795027438,23,OK,FLAT,0,,24547014,12,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,2.024397231056117e-8,
2026-02-27 08:19:46,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547026,2038.3227926072543,55,HIGH,FLAT,0,MEV_SWARM,24547019,7,ELEVATED,18227213492,21276595248,0.25051887876607815,0.29243026027143804,OK,0,0,HIGH,8,0,0,OK,0.0000024702521797721584,
2026-02-27 08:19:46,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547026,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,64,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:20:20,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547029,2039.091692720309,33,ELEVATED,FLAT,0,,24547007,22,ELEVATED,24518926857,24518926857,0.2689125235129961,0.2689125235129961,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:20:20,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547029,0.030124612795027438,23,OK,FLAT,0,,24547014,15,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:20:20,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547029,2038.3227926072543,45,ELEVATED,FALLING,-10,,24547019,10,ELEVATED,18227671139,21276137601,0.2505251687682971,0.292423970269219,OK,0,0,ELEVATED,7,0,0,OK,0.0000024702521797721584,
2026-02-27 08:20:20,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547029,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,67,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:20:54,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547032,2039.059481835407,33,ELEVATED,FLAT,0,,24547031,1,ELEVATED,23185549031,23329364347,0.2542906427827985,0.255867956699271,OK,0,0,OK,0,0,0,OK,0.000007898403841323712,
2026-02-27 08:20:54,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547032,0.030124612795027438,23,OK,FLAT,0,,24547014,18,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:20:54,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547032,2038.3227926072543,45,ELEVATED,FLAT,0,,24547019,13,ELEVATED,17221794549,20270261011,0.23670017705387814,0.27859897855480004,OK,0,0,ELEVATED,7,0,0,OK,0,
2026-02-27 08:20:54,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547032,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,70,OK,8295279,8295279,0.000468544056024464,0.000468544056024464,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:21:33,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547035,2039.059481835407,33,ELEVATED,FLAT,0,,24547031,4,ELEVATED,23185549031,23329364347,0.2542906427827985,0.255867956699271,OK,0,0,OK,0,0,0,OK,0.000007898403841323712,
2026-02-27 08:21:33,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547035,0.030124612795027438,23,OK,FLAT,0,,24547014,21,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:21:33,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547035,2038.325633711891,45,ELEVATED,FLAT,0,,24547034,1,ELEVATED,17226872820,20275339282,0.23676980868273428,0.2786685809396175,OK,0,0,ELEVATED,7,0,0,OK,6.969216718392058e-7,
2026-02-27 08:21:33,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547035,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,73,OK,8295279,8295279,0.000468544056024464,0.000468544056024464,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:22:08,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547038,2039.059481835407,33,ELEVATED,FLAT,0,,24547031,7,ELEVATED,14944255981,15088071297,0.1639031473543358,0.1654804612708083,OK,0,0,OK,0,0,0,OK,0.000007898403841323712,
2026-02-27 08:22:08,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547038,0.030124612795027438,23,OK,FLAT,0,,24547014,24,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:22:08,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547038,2038.329549956007,33,ELEVATED,FALLING,-12,,24547036,2,ELEVATED,10757483260,13805949722,0.14785299859658935,0.18975173054291597,OK,0,0,OK,7,0,0,OK,9.809272493719475e-7,
